raw_option_name,concept,concept_id,needs_review
 SYSYEM,SYSTEM,SYS,no
350 CC BOTTLE INCLUDED?,ADDON,ADD,no
350CC BOTTLE,350CC_BOTTLE,350,yes
ACCESSORIES,ACCESSORIES,ACC,yes
ADAPTER,ADAPTER,ADA,no
ADAPTER - SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes
ADD ADAPTER?,ADDON,ADD,no
Add Another Leshiy 2 Butt?,ADDON,ADD,no
ADD BUTTPAD?,ADDON,ADD,no
ADD CASE?,ADDON,ADD,no
ADD EXTRA SUPPRESSOR AND ADAPTER?,ADDON,ADD,no
"ADD FOSTER MALE TO G1/8"" BSP FEMALE ADAPTER?",ADDON,ADD,no
ADD Frenzy-X 1X22X26 AUT?,ADDON,ADD,no
ADD HUBEN HANDPUMP?,ADDON,ADD,no
ADD INLINE DRYING FILTER,ADDON,ADD,no
ADD INLINE DRYING FILTER?,ADDON,ADD,no
ADD KIT SUPPRESSOR + ADAPTER + HARNESS?,ADDON,ADD,no
ADD MAGAZINE?,ADDON,ADD,no
ADD MOUNTING PLATE FOR GK1?,ADDON,ADD,no
ADD PLENUM?,ADDON,ADD,no
ADD RED DOT SIGHT?,ADDON,ADD,no
ADD SUPPRESSOR?,ADDON,ADD,no
Add Tool?,ADDON,ADD,no
ADD TORX TOOL:,ADDON,ADD,no
ADD TORX TOOL?,ADDON,ADD,no
ADD WEAVER RAIL AND BIPOD?,ADDON,ADD,no
ADD WEAVER RAIL?,ADDON,ADD,no
ADD WOLFIEK GROUP CASE?,ADDON,ADD,no
AIR CAPACITY,AIR_CAPACITY,AIR,yes
AIR RESERVOIR,AIR_RESERVOIR,ARR,yes
Alternative,VARIANT,VAR,no
AMOUNT:,QUANTITY,QTY,no
ASSEMBLED?,ASSEMBLED,ASS,yes
ATTACHTMENT,ATTACHTMENT,ATT,yes
BAR,PRESSURE,PRS,yes
BARREL,BARREL,BAR,yes
Barrel,BARREL,BAR,yes
BARREL INCLUDED?,ADDON,ADD,no
BARREL LENGHT,BARREL_LENGTH,BRL,no
Barrel length,BARREL_LENGTH,BRL,no
BARREL LENGTH,BARREL_LENGTH,BRL,no
Barrel Type,BARREL_TYPE,BRR,yes
BARREL:,BARREL,BAR,yes
BEHEMOTH,BEHEMOTH,BEH,yes
BOLT/NUT,BOLT_NUT,BOL,yes
BOTTLE,BOTTLE,BOT,no
BOTTLE PLUG,BOTTLE_PLUG,BTT,yes
BOX,BOX,BOX,yes
BUILD YOUR OWN,BUILD_YOUR_OWN,BUI,yes
BUTT,BUTT,BUT,no
BUTT EXTENSION,BUTT_EXTENSION,BU0,yes
BUTT EXTENSION LENGTH,BUTT_EXTENSION_LENGTH,BU1,yes
Butt Kit,BUTT_KIT,BU2,yes
BUTTON,BUTTON,BU,no
CAL,CALIBER,CAL,no
CAL:,CALIBER,CAL,no
CALBER,CALIBER,CAL,no
CALIBER,CALIBER,CAL,no
Caliber,CALIBER,CAL,no
CALIBER CONVERSION,CALIBER_CONVERSION,CAI,yes
CALIBER:,CALIBER,CAL,no
CALIBRE,CALIBER,CAL,no
Calibre,CALIBER,CAL,no
CALIBRE:,CALIBER,CAL,no
CANTIDAD,QUANTITY,QTY,no
