option_name_normalized,concept,concept_id,name_needs_review,raw_option_value,normalized_option_value
350CC_BOTTLE,350CC_BOTTLE,350,yes,NO,NONE
350CC_BOTTLE,350CC_BOTTLE,350,yes,YES,YES
ACCESSORIES,ACCESSORIES,ACC,yes,None,NONE
ACCESSORIES,ACCESSORIES,ACC,yes,pEaZy,PEAZY
ACCESSORIES,ACCESSORIES,ACC,yes,Valve + EaZy + 360º Swivel + 500mm hose,VALVE_EAZY_360_SWIVEL_500MM_HOSE
ACCESSORIES,ACCESSORIES,ACC,yes,Valve + EDgun filling station,VALVE_EDGUN_FILLING_STATION
ADAPTER,ADAPTER,ADA,no,1/2-20 UNF,1_2_20_UNF
ADAPTER,ADAPTER,ADA,no,M14x1.25,M14X1_25
ADAPTER,ADAPTER,ADA,no,M15x1 (male),M15X1_MALE
ADAPTER_SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes,1/2-20 UNF adapter + Huben Suppressor,1_2_20_UNF_ADAPTER_HUBEN_SUPPRESSOR
ADAPTER_SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes,1/2-20 UNF adapter + Hush Suppressor,1_2_20_UNF_ADAPTER_HUSH_SUPPRESSOR
ADAPTER_SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes,1/2-20 UNF adapter + Shadow Suppressor,1_2_20_UNF_ADAPTER_SHADOW_SUPPRESSOR
ADAPTER_SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes,1/2-20 UNF adapter - No Suppressor,1_2_20_UNF_ADAPTER_NO_SUPPRESSOR
ADAPTER_SUPPRESSOR,ADAPTER_SUPPRESSOR,ADP,yes,No adapter - No Suppressor,NO_ADAPTER_NO_SUPPRESSOR
350_CC_BOTTLE_INCLUDED,ADDON,ADD,no,WITH 350 CC BOTTLE,WITH_350_CC_BOTTLE
350_CC_BOTTLE_INCLUDED,ADDON,ADD,no,WITHOUT 350 CC BOTTLE,WITHOUT_350_CC_BOTTLE
ADD_ADAPTER,ADDON,ADD,no,1/2UNFX20,1_2UNFX20
ADD_ADAPTER,ADDON,ADD,no,M14X1.25,M14X1_25
ADD_ADAPTER,ADDON,ADD,no,No,NONE
ADD_ANOTHER_LESHIY_2_BUTT,ADDON,ADD,no,NO,NONE
ADD_ANOTHER_LESHIY_2_BUTT,ADDON,ADD,no,YES,YES
ADD_BUTTPAD,ADDON,ADD,no,No,NONE
ADD_BUTTPAD,ADDON,ADD,no,Yes: Add buttpad,YES_ADD_BUTTPAD
ADD_CASE,ADDON,ADD,no,NO,NONE
ADD_CASE,ADDON,ADD,no,YES,YES
ADD_EXTRA_SUPPRESSOR_AND_ADAPTER,ADDON,ADD,no,Add suppressor and adapter,ADD_SUPPRESSOR_AND_ADAPTER
ADD_EXTRA_SUPPRESSOR_AND_ADAPTER,ADDON,ADD,no,No,NONE
ADD_FOSTER_MALE_TO_G1_8_BSP_FEMALE_ADAPTER,ADDON,ADD,no,No,NONE
ADD_FOSTER_MALE_TO_G1_8_BSP_FEMALE_ADAPTER,ADDON,ADD,no,"Yes: add foster male to G1/8"" BSP female adapter",YES_ADD_FOSTER_MALE_TO_G1_8_BSP_FEMALE_ADAPTER
ADD_FRENZY_X_1X22X26_AUT,ADDON,ADD,no,No,NONE
ADD_FRENZY_X_1X22X26_AUT,ADDON,ADD,no,Yes: Add Frenzy-X 1X22X26 AUT,YES_ADD_FRENZY_X_1X22X26_AUT
ADD_HUBEN_HANDPUMP,ADDON,ADD,no,No,NONE
