raw_vendor,vendor_brand,vendor_abv
AEA,AEA,AE
AEA Airguns,AEA,AE
AEA Airguns Shop,AEA,AE
CHRONOGRAPHS,CHRONOGRAPHS,CHR
Discovery,DISCOVERY,DI
DLG Tactical,DLG TACTICAL,DL
EAGLE VISION,EAGLE VISION,EA
EDgun,EDGUN,ED
EDGUN,EDGUN,ED
EDGUN.SHOP,EDGUN,ED
EDGUNLESHIY SHOP,EDGUN,ED
EFFECTO,EFFECTO,EF
Effecto Shop,EFFECTO,EF
EPIC,EPIC,PC
EVANIX,EVANIX,EV
Evanix Shop,EVANIX,EV
GARMIN,GARMIN,GR
Hawke Optics,HAWKE,HO
HILL,HILL,HI
HUBEN,HUBEN,HU
HUBEN AIRGUNS SHOP,HUBEN,HU
HUBENAIRGUNS SHOP,HUBEN,HU
JSB,JSB,JS
POLYMAG,POLYMAG,PM
PRESSLUG,PRESSLUG,PS
RTI,RTI,RT
RTI ARMS SHOP,RTI,RT
SCANDINAVIAN ARMS,SCANDINAVIAN ARMS,SA
Sightron,SIGHTRON,SI
SUPER LUBE,SUPER LUBE,SL
TAIPAN,TAIPAN,TP
TACTICAL EVO,TACTICAL EVO,TE
VALIANT OPTICS,VALIANT OPTICS,VL
VECTOR OPTICS,VECTOR OPTICS,VO
WG,WG,WG
WG EPIC SHOP,EPIC,PC
WOLFIEK GROUP,WOLFIEK,WO
ZAN PROJECTILES,ZAN,ZA
